UE_id,From_Address,Sequence num,Parket size[byte],Sent time[s],Dest IP,Packet Total
9999,02-07-00:00:00:00:01:c0:00,1087,1024,98.5892,02-07-ac:10:00:02:09:00:00,14006
9999,02-07-00:00:00:00:01:c0:00,479,1024,98.5899,02-07-ac:10:00:02:09:00:00,14007
9999,02-07-00:00:00:00:01:c0:00,481,1024,98.5932,02-07-ac:10:00:02:09:00:00,14008
9999,02-07-00:00:00:00:01:c0:00,517,1024,98.594,02-07-ac:10:00:02:09:00:00,14009
9999,02-07-00:00:00:00:01:c0:00,1084,1024,98.5949,02-07-ac:10:00:02:09:00:00,14010
9999,02-07-00:00:00:00:01:c0:00,482,1024,98.5973,02-07-ac:10:00:02:09:00:00,14011
9999,02-07-00:00:00:00:01:c0:00,488,1024,98.6035,02-07-ac:10:00:02:09:00:00,14012
9999,02-07-00:00:00:00:01:c0:00,469,1024,98.6036,02-07-ac:10:00:02:09:00:00,14013
9999,02-07-00:00:00:00:01:c0:00,472,1024,98.6051,02-07-ac:10:00:02:09:00:00,14014
9999,02-07-00:00:00:00:01:c0:00,1090,1024,98.6074,02-07-ac:10:00:02:09:00:00,14015
9999,02-07-00:00:00:00:01:c0:00,475,1024,98.6085,02-07-ac:10:00:02:09:00:00,14016
9999,02-07-00:00:00:00:01:c0:00,478,1024,98.6099,02-07-ac:10:00:02:09:00:00,14017
9999,02-07-00:00:00:00:01:c0:00,478,1024,98.6137,02-07-ac:10:00:02:09:00:00,14018
9999,02-07-00:00:00:00:01:c0:00,1711,1024,98.6172,02-07-ac:10:00:02:09:00:00,14019
9999,02-07-00:00:00:00:01:c0:00,525,1024,98.6202,02-07-ac:10:00:02:09:00:00,14020
9999,02-07-00:00:00:00:01:c0:00,476,1024,98.622,02-07-ac:10:00:02:09:00:00,14021
9999,02-07-00:00:00:00:01:c0:00,527,1024,98.6223,02-07-ac:10:00:02:09:00:00,14022
9999,02-07-00:00:00:00:01:c0:00,518,1024,98.6228,02-07-ac:10:00:02:09:00:00,14023
9999,02-07-00:00:00:00:01:c0:00,1698,1024,98.6263,02-07-ac:10:00:02:09:00:00,14024
9999,02-07-00:00:00:00:01:c0:00,470,1024,98.6274,02-07-ac:10:00:02:09:00:00,14025
9999,02-07-00:00:00:00:01:c0:00,1088,1024,98.6292,02-07-ac:10:00:02:09:00:00,14026
9999,02-07-00:00:00:00:01:c0:00,480,1024,98.6299,02-07-ac:10:00:02:09:00:00,14027
9999,02-07-00:00:00:00:01:c0:00,482,1024,98.6332,02-07-ac:10:00:02:09:00:00,14028
9999,02-07-00:00:00:00:01:c0:00,518,1024,98.634,02-07-ac:10:00:02:09:00:00,14029
9999,02-07-00:00:00:00:01:c0:00,1085,1024,98.6349,02-07-ac:10:00:02:09:00:00,14030
9999,02-07-00:00:00:00:01:c0:00,483,1024,98.6373,02-07-ac:10:00:02:09:00:00,14031
9999,02-07-00:00:00:00:01:c0:00,489,1024,98.6435,02-07-ac:10:00:02:09:00:00,14032
9999,02-07-00:00:00:00:01:c0:00,470,1024,98.6436,02-07-ac:10:00:02:09:00:00,14033
9999,02-07-00:00:00:00:01:c0:00,473,1024,98.6451,02-07-ac:10:00:02:09:00:00,14034
9999,02-07-00:00:00:00:01:c0:00,1091,1024,98.6474,02-07-ac:10:00:02:09:00:00,14035
9999,02-07-00:00:00:00:01:c0:00,476,1024,98.6485,02-07-ac:10:00:02:09:00:00,14036
9999,02-07-00:00:00:00:01:c0:00,479,1024,98.6499,02-07-ac:10:00:02:09:00:00,14037
9999,02-07-00:00:00:00:01:c0:00,479,1024,98.6537,02-07-ac:10:00:02:09:00:00,14038
9999,02-07-00:00:00:00:01:c0:00,1712,1024,98.6572,02-07-ac:10:00:02:09:00:00,14039
9999,02-07-00:00:00:00:01:c0:00,526,1024,98.6602,02-07-ac:10:00:02:09:00:00,14040
9999,02-07-00:00:00:00:01:c0:00,477,1024,98.662,02-07-ac:10:00:02:09:00:00,14041
9999,02-07-00:00:00:00:01:c0:00,528,1024,98.6623,02-07-ac:10:00:02:09:00:00,14042
9999,02-07-00:00:00:00:01:c0:00,519,1024,98.6628,02-07-ac:10:00:02:09:00:00,14043
9999,02-07-00:00:00:00:01:c0:00,1699,1024,98.6663,02-07-ac:10:00:02:09:00:00,14044
9999,02-07-00:00:00:00:01:c0:00,471,1024,98.6674,02-07-ac:10:00:02:09:00:00,14045
9999,02-07-00:00:00:00:01:c0:00,1089,1024,98.6692,02-07-ac:10:00:02:09:00:00,14046
9999,02-07-00:00:00:00:01:c0:00,481,1024,98.6699,02-07-ac:10:00:02:09:00:00,14047
9999,02-07-00:00:00:00:01:c0:00,483,1024,98.6732,02-07-ac:10:00:02:09:00:00,14048
9999,02-07-00:00:00:00:01:c0:00,519,1024,98.674,02-07-ac:10:00:02:09:00:00,14049
9999,02-07-00:00:00:00:01:c0:00,1086,1024,98.6749,02-07-ac:10:00:02:09:00:00,14050
9999,02-07-00:00:00:00:01:c0:00,484,1024,98.6773,02-07-ac:10:00:02:09:00:00,14051
9999,02-07-00:00:00:00:01:c0:00,490,1024,98.6835,02-07-ac:10:00:02:09:00:00,14052
9999,02-07-00:00:00:00:01:c0:00,471,1024,98.6836,02-07-ac:10:00:02:09:00:00,14053
9999,02-07-00:00:00:00:01:c0:00,474,1024,98.6851,02-07-ac:10:00:02:09:00:00,14054
9999,02-07-00:00:00:00:01:c0:00,1092,1024,98.6874,02-07-ac:10:00:02:09:00:00,14055
9999,02-07-00:00:00:00:01:c0:00,477,1024,98.6885,02-07-ac:10:00:02:09:00:00,14056
9999,02-07-00:00:00:00:01:c0:00,480,1024,98.6899,02-07-ac:10:00:02:09:00:00,14057
9999,02-07-00:00:00:00:01:c0:00,480,1024,98.6937,02-07-ac:10:00:02:09:00:00,14058
9999,02-07-00:00:00:00:01:c0:00,1713,1024,98.6972,02-07-ac:10:00:02:09:00:00,14059
9999,02-07-00:00:00:00:01:c0:00,527,1024,98.7002,02-07-ac:10:00:02:09:00:00,14060
9999,02-07-00:00:00:00:01:c0:00,478,1024,98.702,02-07-ac:10:00:02:09:00:00,14061
9999,02-07-00:00:00:00:01:c0:00,529,1024,98.7023,02-07-ac:10:00:02:09:00:00,14062
9999,02-07-00:00:00:00:01:c0:00,520,1024,98.7028,02-07-ac:10:00:02:09:00:00,14063
9999,02-07-00:00:00:00:01:c0:00,1700,1024,98.7063,02-07-ac:10:00:02:09:00:00,14064
9999,02-07-00:00:00:00:01:c0:00,472,1024,98.7074,02-07-ac:10:00:02:09:00:00,14065
9999,02-07-00:00:00:00:01:c0:00,1090,1024,98.7092,02-07-ac:10:00:02:09:00:00,14066
9999,02-07-00:00:00:00:01:c0:00,482,1024,98.7099,02-07-ac:10:00:02:09:00:00,14067
