Waf: Entering directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
[2710/2769] Compiling scratch/scenario/nodehelper.cc
[2736/2769] Linking build/scratch/scenario/scenario
Waf: Leaving directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (19.233s)
Start!
Setting Route Protocol: AODV for adhoc
Setting UAVs Topo for AP & Adhoc
21.7747 6 received one packet from 172.16.1.9
21.7979 8 received one packet from 172.16.1.11
21.8048 6 received one packet from 172.16.1.9
21.8227 6 received one packet from 172.16.1.9
21.8312 8 received one packet from 172.16.1.11
21.8379 8 received one packet from 172.16.1.11
21.8506 6 received one packet from 172.16.1.9
21.8577 8 received one packet from 172.16.1.11
21.8666 6 received one packet from 172.16.1.9
21.881 6 received one packet from 172.16.1.9
22.1107 6 received one packet from 172.16.1.9
22.1182 6 received one packet from 172.16.1.9
22.1328 6 received one packet from 172.16.1.9
22.1461 6 received one packet from 172.16.1.9
22.158 6 received one packet from 172.16.1.9
22.1673 6 received one packet from 172.16.1.9
22.1731 6 received one packet from 172.16.1.9
22.1786 6 received one packet from 172.16.1.9
22.2003 6 received one packet from 172.16.1.9
22.2052 8 received one packet from 172.16.1.11
22.2087 6 received one packet from 172.16.1.9
22.2494 6 received one packet from 172.16.1.9
22.2642 8 received one packet from 172.16.1.11
22.2698 6 received one packet from 172.16.1.9
22.2718 8 received one packet from 172.16.1.11
22.2782 8 received one packet from 172.16.1.11
22.2834 6 received one packet from 172.16.1.9
22.2925 8 received one packet from 172.16.1.11
22.2969 6 received one packet from 172.16.1.9
22.3217 6 received one packet from 172.16.1.9
22.3237 8 received one packet from 172.16.1.11
22.3309 6 received one packet from 172.16.1.9
22.347 8 received one packet from 172.16.1.11
22.3511 6 received one packet from 172.16.1.9
22.363 8 received one packet from 172.16.1.11
22.3709 8 received one packet from 172.16.1.11
22.3742 6 received one packet from 172.16.1.9
22.3811 6 received one packet from 172.16.1.9
22.3883 8 received one packet from 172.16.1.11
22.3933 6 received one packet from 172.16.1.9
22.4029 8 received one packet from 172.16.1.11
22.4051 6 received one packet from 172.16.1.9
